repo_name_with_owner,stars,total_pr,total_pr_reviews,total_repository_files,analysis_time,number_characters_description,number_participants,total_comments_pr,total_rows_added,total_rows_removed,grand_total_rows_added_and_removed,index
jwasham/coding-interview-university,288817,943,28,7,0.19277777777777777,14,1,0,5701,5406,117809,1
kamranahmedse/developer-roadmap,274360,2712,7,25,2576.9602777777777,60,3,2,16038,4797,238955,2
996icu/996.ICU,269041,1970,22,16,3.2577777777777777,38,2,0,19925,167,194734,3
codecrafters-io/build-your-own-x,256904,244,14,3,9364.3175,0,3,1,64,43,2963,4
donnemartin/system-design-primer,253372,301,73,15,554.4944444444444,53,2,1,5889,3174,50709,5
trekhleb/javascript-algorithms,182591,510,34,34,38.59444444444444,110,2,1,16643,5331,713138,6
TheAlgorithms/Python,179295,9181,36,57,24.925,61,2,1,1667,1109,76540,7
torvalds/linux,169981,470,3,39,46.36,0,4,8,3201,1976,178129,8
practical-tutorials/project-based-learning,167921,329,21,5,68.24277777777777,76,2,0,415,91,9639,9
twbs/bootstrap,167409,14996,3,27,88.14944444444444,136,3,1,2981,10704,134082,10
Significant-Gravitas/AutoGPT,161118,3608,258,22,17.90888888888889,1469,2,1,3000,2019,92230,11
jackfrued/Python-100-Days,149886,148,3,16,0.08527777777777777,11,1,2,124318,59724,6233443,12
Snailclimb/JavaGuide,143033,1288,1,16,0.005833333333333334,13,1,1,2568,1430,97495,13
airbnb/javascript,141704,1490,1,11,13769.527222222223,101,2,2,438,270,18450,14
AUTOMATIC1111/stable-diffusion-webui,129140,2877,10,41,1.6513888888888888,182,2,0,5764,2423,259643,15
trimstray/the-book-of-secret-knowledge,129098,204,21,4,6259.896111111111,102,3,3,1048,949,94702,16
huggingface/transformers,124688,15174,38,40,74.84,156,2,1,11927,1539,337620,17
labuladong/fucking-algorithm,123336,452,12,14,1990.9425,49,2,0,6145,6324,357215,18
vercel/next.js,120420,20864,102,54,1.1908333333333334,0,2,1,4762,2072,74488,19
golang/go,119498,3398,3,16,130.07833333333335,1345,4,4,4104,998,136333,20
Chalarangelo/30-seconds-of-code,119067,1604,75,29,1.3019444444444443,42,1,0,1570,996,47944,21
